nodes,hops
100,17
100,18
100,16
100,17
100,13
100,14
100,15
100,14
100,14
100,13
100,20
100,18
100,21
100,18
100,11
100,14
100,16
100,15
100,16
100,10
100,17
100,15
100,17
100,14
100,12
100,19
100,18
100,16
100,13
100,16
100,19
100,12
100,20
100,19
100,11
100,19
100,13
100,19
100,13
100,21
100,19
100,15
100,17
100,15
100,26
100,11
100,14
100,15
100,18
100,15
100,12
100,18
100,13
100,15
100,14
100,14
100,10
100,15
100,17
100,16
100,12
100,18
100,11
100,13
100,19
100,12
100,18
100,16
100,14
100,14
100,12
100,14
100,12
100,12
100,19
100,12
100,17
100,9
100,24
100,23
100,13
100,17
100,15
100,13
100,10
100,18
100,16
100,14
100,18
100,17
100,16
100,14
100,27
100,19
250,15
250,24
250,12
250,11
250,17
250,14
250,13
250,25
250,24
250,22
250,19
250,13
250,14
250,18
250,13
250,11
250,12
250,15
250,18
250,13
250,16
250,19
250,20
250,15
250,17
250,18
250,16
250,17
250,16
250,14
250,13
250,21
250,15
250,29
250,20
250,18
250,16
250,14
250,17
250,13
250,19
250,14
250,15
250,14
250,20
250,16
250,14
250,15
250,16
250,15
250,19
250,16
250,16
250,20
250,22
250,22
250,14
250,22
250,14
250,16
250,16
250,14
250,19
250,15
250,19
250,13
250,14
250,17
250,15
250,16
250,19
250,17
250,14
250,19
250,15
250,18
250,15
250,14
250,16
250,23
250,21
250,12
250,17
250,17
250,17
250,14
250,14
250,20
250,19
250,18
250,13
250,16
250,19
250,13
250,15
250,16
250,22
250,18
250,15
250,17
400,15
400,18
400,13
400,19
400,14
400,17
400,18
400,17
400,19
400,19
400,16
400,22
400,17
400,18
400,18
400,12
400,18
400,17
400,16
400,12
400,15
400,12
400,17
400,12
400,15
400,17
400,19
400,19
400,16
400,14
400,17
400,18
400,15
400,12
400,17
400,15
400,17
400,17
400,13
400,18
400,17
400,16
400,18
400,16
400,15
400,21
400,12
400,14
400,17
400,12
400,17
400,16
400,17
400,21
400,23
400,17
400,14
400,14
400,19
400,14
400,16
400,17
400,15
400,18
400,13
400,17
400,19
400,13
400,17
400,16
400,16
400,17
400,17
400,15
400,22
400,15
400,18
400,15
400,17
400,14
400,15
400,17
400,17
400,16
400,14
400,16
400,16
400,15
400,18
400,14
400,16
400,16
400,18
400,13
400,17
400,13
400,18
400,12
400,18
400,13
550,20
550,14
550,17
550,18
550,14
550,15
550,19
550,19
550,16
550,15
550,17
550,16
550,16
550,16
550,14
550,16
550,18
550,17
550,15
550,18
550,17
550,15
550,17
550,20
550,17
550,14
550,19
550,16
550,18
550,13
550,15
550,14
550,15
550,18
550,19
550,14
550,21
550,14
550,15
550,19
550,14
550,14
550,14
550,17
550,17
550,19
550,17
550,17
550,18
550,19
550,18
550,18
550,15
550,16
550,17
550,19
550,20
550,17
550,15
550,16
550,19
550,19
550,16
550,15
550,16
550,19
550,15
550,16
550,17
550,16
550,17
550,18
550,15
550,16
550,17
550,19
550,16
550,19
550,14
550,17
550,16
550,17
550,17
550,18
550,20
550,19
550,16
550,19
550,16
550,19
550,20
550,14
550,19
550,19
550,15
550,17
550,17
550,17
550,18
550,20
700,15
700,14
700,13
700,14
700,15
700,16
700,16
700,19
700,13
700,18
700,14
700,16
700,17
700,20
700,17
700,14
700,15
700,18
700,16
700,18
700,16
700,13
700,14
700,13
700,16
700,17
700,18
700,18
700,16
700,19
700,16
700,15
700,18
700,15
700,15
700,16
700,16
700,17
700,18
700,18
700,18
700,19
700,17
700,15
700,15
700,17
700,17
700,15
700,15
700,18
700,20
700,12
700,14
700,18
700,14
700,14
700,21
700,14
700,16
700,13
700,12
700,15
700,16
700,17
700,22
700,16
700,12
700,14
700,17
700,17
700,17
700,17
700,18
700,14
700,18
700,17
700,18
700,15
700,16
700,18
700,19
700,17
700,15
700,20
700,17
700,18
700,16
700,20
700,15
700,16
700,16
700,20
700,15
700,14
700,17
700,19
700,14
700,19
700,16
700,20
850,20
850,14
850,17
850,18
850,14
850,15
850,19
850,19
850,16
850,15
850,17
850,16
850,16
850,16
850,14
850,16
850,18
850,17
850,15
850,18
850,17
850,15
850,17
850,20
850,17
850,14
850,19
850,16
850,18
850,13
850,15
850,14
850,15
850,18
850,19
850,14
850,21
850,14
850,15
850,19
850,14
850,14
850,14
850,17
850,17
850,19
850,17
850,17
850,18
850,19
850,18
850,18
850,15
850,16
850,17
850,19
850,20
850,17
850,15
850,16
850,19
850,19
850,16
850,15
850,16
850,19
850,15
850,16
850,17
850,16
850,17
850,18
850,15
850,16
850,17
850,19
850,16
850,19
850,14
850,17
850,16
850,17
850,17
850,18
850,20
850,19
850,16
850,19
850,16
850,19
850,20
850,14
850,19
850,19
850,15
850,17
850,17
850,17
850,18
850,20
1000,19
1000,16
1000,17
1000,13
1000,17
1000,15
1000,16
1000,17
1000,19
1000,19
1000,17
1000,16
1000,16
1000,18
1000,15
1000,15
1000,18
1000,17
1000,16
1000,18
1000,14
1000,18
1000,18
1000,19
1000,19
1000,16
1000,17
1000,18
1000,18
1000,15
1000,20
1000,16
1000,17
1000,17
1000,17
1000,20
1000,18
1000,17
1000,17
1000,18
1000,16
1000,17
1000,19
1000,16
1000,17
1000,16
1000,16
1000,21
1000,18
1000,14
1000,20
1000,17
1000,15
1000,17
1000,19
1000,16
1000,21
1000,16
1000,16
1000,20
1000,14
1000,15
1000,16
1000,18
1000,16
1000,18
1000,19
1000,15
1000,19
1000,16
1000,16
1000,17
1000,14
1000,17
1000,17
1000,20
1000,20
1000,18
1000,17
1000,21
1000,17
1000,20
1000,14
1000,19
1000,16
1000,15
1000,15
1000,19
1000,19
1000,16
1000,18
1000,22
1000,18
1000,16
1000,19
1000,17
1000,17
1000,14
1000,13
1000,21
1150,17
1150,18
1150,18
1150,16
1150,18
1150,14
1150,17
1150,19
1150,18
1150,16
1150,18
1150,17
1150,16
1150,20
1150,19
1150,16
1150,18
1150,17
1150,15
1150,16
1150,17
1150,16
1150,14
1150,20
1150,20
1150,17
1150,17
1150,21
1150,20
1150,20
1150,18
1150,21
1150,16
1150,20
1150,16
1150,18
1150,20
1150,16
1150,19
1150,16
1150,18
1150,15
1150,16
1300,15
1300,19
1300,18
1300,14
1300,17
1300,16
1300,16
1300,15
1300,18
1300,19
1300,16
1300,17
1300,15
1300,19
1300,15
1300,15
1300,15
1300,18
1300,16
1300,19
1300,13
1300,18
1300,19
1300,15
1300,19
1300,16
1300,18
1300,18
1300,17
1300,19
1300,20
1300,16
1300,19
1300,15
1300,16
1300,20
1300,17
1300,16
1300,15
1300,15
1300,17
1300,18
1300,15
1300,15
1300,16
1300,20
1300,17
1300,18
1300,17
1300,17
1300,17
1300,18
1300,17
1300,16
1300,19
1300,17
1300,16
1300,16
1300,16
1300,13
1300,14
1300,18
1300,15
1300,16
1300,14
1300,17
1300,19
1300,15
1300,17
1300,15
1300,15
1300,17
1300,17
1300,16
1300,15
1300,20
1300,17
1300,15
1300,17
1300,18
1300,15
1300,16
1300,20
1300,18
1300,15
1300,14
1450,19
1450,15
1450,15
1450,19
1450,16
1450,18
1450,17
1450,19
1450,15
1450,17
1450,17
1450,16
1450,15
1450,18
1450,18
1450,19
1450,17
1450,13
1450,18
1450,15
1450,17
1450,20
1450,16
1450,17
1450,15
1450,18
1450,17
1450,17
1450,18
1450,16
1450,16
1450,16
1450,20
1450,20
1450,18
1450,15
1450,17
1450,19
1450,24
1450,18
1450,17
1450,19
1450,17
1450,15
1450,19
1450,19
1450,21
1450,17
1450,14
1450,19
1450,16
1450,19
1450,19
1450,19
1450,19
1450,16
1450,17
1450,16
1450,19
1450,16
1450,18
1450,24
1450,15
1450,15
1450,15
1450,19
1450,17
1450,16
1450,15
1450,17
1450,17
1450,14
1450,15
1450,17
1450,18
1450,17
1450,21
1450,20
1450,20
1450,17
1450,20
1450,17
1450,16
1450,15
1450,20
1450,16
1450,19
1450,18
1450,17
1450,16
1450,15
1450,17
1450,20
1450,19
1450,15
1450,13
1450,17
1450,18
1450,19
1450,19
1600,17
1600,18
1600,18
1600,16
1600,18
1600,14
1600,17
1600,19
1600,18
1600,16
1600,18
1600,17
1600,16
1600,20
1600,19
1600,16
1600,18
1600,17
1600,15
1600,16
1600,17
1600,16
1600,14
1600,20
1600,20
1600,17
1600,17
1600,21
1600,20
1600,20
1600,18
1600,21
1600,16
1600,20
1600,16
1600,18
1600,20
1600,16
1600,19
1600,16
1600,18
1600,15
1600,16
